Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-03-01 20:47:40;252.91
2023-03-01 21:02:40;253.59
2023-03-01 21:17:40;254.13
2023-03-01 21:32:40;253.22
2023-03-01 21:47:40;254.22
2023-03-01 22:02:40;254.56
2023-03-01 22:17:40;255.22
2023-03-01 22:32:40;255.81
2023-03-01 22:47:40;255.97
2023-03-01 23:02:41;256.03
2023-03-01 23:17:41;257.25
2023-03-01 23:32:40;257.13
2023-03-01 23:47:40;252.88
2023-03-02 00:02:40;256.78
2023-03-02 00:17:40;256.31
2023-03-02 00:32:40;254.22
2023-03-02 00:47:40;255.47
2023-03-02 01:02:40;256.94
2023-03-02 01:17:40;254.47
2023-03-02 01:32:40;255.84
2023-03-02 01:47:40;256.94
2023-03-02 02:02:40;252.94
2023-03-02 02:17:40;256.25
2023-03-02 02:32:40;257.03
2023-03-02 02:47:40;255.16
2023-03-02 03:02:40;256.66
2023-03-02 03:17:40;253.06
2023-03-02 03:32:40;256.53
2023-03-02 03:47:40;253.56
2023-03-02 04:02:40;256.66
2023-03-02 04:17:40;255.16
2023-03-02 04:32:40;255.72
2023-03-02 04:47:40;256.22
2023-03-02 05:02:40;253.53
2023-03-02 05:17:40;256.03
2023-03-02 05:32:40;256.28
2023-03-02 05:47:40;253.5
2023-03-02 06:02:40;255.66
2023-03-02 06:17:40;256.72
2023-03-02 06:32:40;255.91
2023-03-02 06:47:40;255.91
2023-03-02 07:02:41;254.53
2023-03-02 07:17:41;253.28
2023-03-02 07:32:40;253.59
2023-03-02 07:47:40;253.56
2023-03-02 08:02:40;253.31
2023-03-02 08:17:40;254.03
2023-03-02 08:32:40;254.13
2023-03-02 08:47:40;255.34
2023-03-02 09:02:40;255.56
2023-03-02 09:17:40;255.72
2023-03-02 09:32:40;256.28
2023-03-02 09:47:40;255.78
2023-03-02 10:02:40;255.72
2023-03-02 10:17:40;256.03
2023-03-02 10:32:40;255.0
2023-03-02 10:47:40;255.22
2023-03-02 11:02:40;255.41
2023-03-02 11:17:40;255.34
2023-03-02 11:32:40;255.22
2023-03-02 11:47:40;254.0
2023-03-02 12:02:40;253.88
2023-03-02 12:17:40;254.28
2023-03-02 12:32:40;255.34
2023-03-02 12:47:40;255.31
2023-03-02 13:02:40;255.81
2023-03-02 13:17:40;255.31
2023-03-02 13:32:40;255.78
2023-03-02 13:47:40;256.06
2023-03-02 14:02:40;255.84
2023-03-02 14:17:40;255.91
2023-03-02 14:32:40;256.22
2023-03-02 14:47:40;256.28
2023-03-02 15:02:41;256.41
